Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,V Kohli,Royal Challengers Bangalore,615,2.041,0.365,"$2,500,000","$2,594,886"
2,DA Warner,Sunrisers Hyderabad,414,1.375,0.237,"$916,000","$1,890,050"
3,AB de Villiers,Royal Challengers Bangalore,307,1.0190000000000001,0.18899999999999997,"$1,583,333","$1,513,292"
4,YS Chahal,Royal Challengers Bangalore,251,0.833,0.155,"$16,000","$1,316,446"
5,G Gambhir,Kolkata Knight Riders,241,0.799,0.147,"$1,666,667","$1,280,463"
6,RG Sharma,Mumbai Indians,224,0.743,0.162,"$1,916,667","$1,221,198"
7,CH Morris,Delhi Daredevils,219,0.727,0.16899999999999998,"$1,050,000","$1,204,265"
8,YK Pathan,Kolkata Knight Riders,214,0.711,0.122,"$541,000","$1,187,332"
9,A Zampa,Rising Pune Supergiants,208,0.69,0.125,"$45,000","$1,165,107"
10,AM Rahane,Rising Pune Supergiants,191,0.634,0.131,"$1,333,333","$1,105,842"
11,DS Kulkarni,Gujarat Lions,186,0.618,0.163,"$300,000","$1,088,909"
12,S Dhawan,Sunrisers Hyderabad,178,0.591,0.14400000000000002,"$2,083,333","$1,060,335"
13,AD Russell,Kolkata Knight Riders,169,0.561,0.146,"$100,000","$1,028,585"
14,AJ Finch,Gujarat Lions,162,0.537,0.127,"$150,000","$1,003,186"
15,SPD Smith,Rising Pune Supergiants,154,0.512,0.092,"$666,000","$976,728"
16,KL Rahul,Sunrisers Hyderabad,137,0.45399999999999996,0.11599999999999999,"$166,000","$915,346"
17,B Kumar,Sunrisers Hyderabad,126,0.419,0.166,"$708,000","$878,305"
18,S Aravind,Royal Challengers Bangalore,116,0.385,0.08900000000000001,NA,"$842,323"
19,MS Dhoni,Rising Pune Supergiants,111,0.36700000000000005,0.084,"$2,083,333","$823,273"
20,M Vijay,Kings XI Punjab,99,0.32899999999999996,0.11599999999999999,"$500,000","$783,057"
21,AB Dinda,Rising Pune Supergiants,96,0.319,0.08,"$75,000","$772,474"
22,DR Smith,Gujarat Lions,89,0.29600000000000004,0.133,"$345,000","$748,133"
23,Sandeep Sharma,Kings XI Punjab,85,0.281,0.126,"$141,000","$732,258"
24,Sachin Baby,Royal Challengers Bangalore,82,0.272,0.057999999999999996,"$15,000","$722,733"
